x,y,z,collapse_count,last_collapsed_at
0,2,17,2,96.0
0,2,18,1,47.03788622683844
0,2,19,3,97.0
0,2,20,2,37.2740076321489
0,2,21,2,97.0
0,2,22,2,51.59156419270703
0,2,23,5,67.10654363190373
0,2,24,4,44.534157841148165
0,2,25,2,29.323717660793328
0,2,26,4,33.416629796451325
0,2,27,5,72.51368290219825
0,2,28,3,46.14552408294918
0,2,29,2,7.054946292114882
0,2,30,1,60.0
0,2,31,1,21.06515353466162
0,2,32,4,97.0
0,2,33,2,89.0
0,2,34,2,40.0
0,2,35,1,27.0
0,2,36,3,89.0
0,2,37,2,43.0
0,2,38,2,78.02234299373528
0,2,39,1,75.35959348762385
0,2,40,1,55.0
0,2,41,2,89.0
0,2,42,1,71.0
0,2,43,1,10.280034126501537
0,2,44,2,100.0
0,2,45,3,62.17574067328582
0,2,46,2,33.0
0,2,47,4,53.287809517095305
0,2,48,3,47.41277989452196
0,2,49,0,
0,3,0,6,60.40946906590572
0,3,1,1,11.0
0,3,2,2,48.35703715973252
0,3,3,4,61.72935118403214
0,3,4,1,12.275058872465904
0,3,5,3,87.0
0,3,6,1,25.419987325738475
0,3,7,4,100.0
0,3,8,3,38.95418997365172
0,3,9,1,58.91666244670166
0,3,10,2,62.0
0,3,11,3,70.70059504169532
0,3,12,2,91.0
0,3,13,4,16.57488942467875
0,3,14,3,26.665881631068896
0,3,15,1,33.18006621700094
0,3,16,1,22.23950782749175
0,3,17,0,
0,3,18,3,20.1712171419217
0,3,19,1,79.0
0,3,20,1,4.311252440337777
0,3,21,4,81.0
0,3,22,0,
0,3,23,1,89.0
0,3,24,4,54.356402117642475
0,3,25,4,38.920046665576756
0,3,26,3,70.0
0,3,27,2,55.0
0,3,28,0,
0,3,29,1,5.927073587749351
0,3,30,4,55.09311303549785
0,3,31,6,78.68847906030359
0,3,32,3,63.86250844350362
0,3,33,0,
0,3,34,1,19.0
0,3,35,2,84.69054957314356
0,3,36,2,87.0
0,3,37,5,67.0
0,3,38,4,51.633787756068806
0,3,39,5,45.44457746366905
0,3,40,1,46.618719105234
0,3,41,3,60.636913450218714
0,3,42,2,45.0
0,3,43,1,36.082856125294896
0,3,44,3,79.0
0,3,45,1,69.51457572969447
0,3,46,2,50.12041438879076
0,3,47,4,77.25430545145163
0,3,48,5,73.778175245399
0,3,49,1,3.6026654508869167
0,4,0,1,42.0
0,4,1,0,
0,4,2,1,18.7680578872719
0,4,3,2,70.0
0,4,4,1,84.40441367158002
0,4,5,1,2.6096057953534024
0,4,6,2,25.40336970195493
0,4,7,3,27.965639931998833
0,4,8,1,90.0
0,4,9,2,35.97649153906315
0,4,10,2,31.0
0,4,11,2,36.3892039138249
0,4,12,1,44.25688140488668
0,4,13,3,65.0
0,4,14,1,50.0
0,4,15,5,73.0
0,4,16,2,39.0
0,4,17,0,
0,4,18,4,87.14665624626225
0,4,19,5,71.41467647292328
0,4,20,1,89.0
0,4,21,2,60.065856925365196
0,4,22,3,58.0
0,4,23,1,1.0
0,4,24,4,44.40897445123402
0,4,25,3,72.0
0,4,26,0,
0,4,27,1,58.0
0,4,28,2,54.0
0,4,29,2,78.58087837959351
0,4,30,3,61.0
0,4,31,3,74.0
0,4,32,2,55.963026353446175
0,4,33,4,94.0
0,4,34,2,38.0
0,4,35,1,46.73997708139668
0,4,36,3,73.4917986891391
0,4,37,2,87.0
0,4,38,2,53.0
0,4,39,2,54.59170574131196
0,4,40,1,50.0826328011717
0,4,41,2,69.3784855969682
0,4,42,2,68.09970218448645
0,4,43,0,
0,4,44,2,73.0
0,4,45,2,46.779622245328426
0,4,46,2,35.0
0,4,47,5,83.4536395872841
0,4,48,1,9.368969350878405
0,4,49,3,87.0
0,5,0,1,76.0
0,5,1,2,74.0
0,5,2,2,94.0
0,5,3,3,52.958301247103904
0,5,4,2,61.0
0,5,5,1,18.02783416823157
0,5,6,2,77.39974973713129
0,5,7,2,79.96805459048225
0,5,8,0,
0,5,9,3,26.883117861027955
0,5,10,6,95.0
0,5,11,4,15.256631768087672
0,5,12,1,4.2650176061138545
0,5,13,4,28.38535732227248
0,5,14,2,38.0
0,5,15,0,
0,5,16,1,34.68939274436666
0,5,17,3,61.441645720284185
0,5,18,5,61.0
0,5,19,3,50.0
0,5,20,1,18.0
0,5,21,0,
0,5,22,1,53.118586739056624
0,5,23,2,49.199960006256966
0,5,24,0,
0,5,25,6,73.89308414910177
0,5,26,2,67.7583655910915
0,5,27,3,71.63405661751315
0,5,28,3,67.0
0,5,29,1,83.0
0,5,30,0,
0,5,31,2,74.0
0,5,32,0,
0,5,33,3,54.972713091134395
0,5,34,2,84.674855919513
0,5,35,1,75.87540240175679
0,5,36,2,15.183877148154856
0,5,37,1,61.0
0,5,38,0,
0,5,39,3,94.0
0,5,40,2,72.01733723093157
0,5,41,0,
0,5,42,3,48.0
0,5,43,3,65.4087643536816
0,5,44,2,8.42524756049887
0,5,45,3,44.18214246380208
0,5,46,5,50.7297766256718
0,5,47,2,90.2414222044173
0,5,48,2,66.24743484309435
0,5,49,2,88.0
0,6,0,3,71.75023427237741
0,6,1,2,65.79804407048927
0,6,2,2,53.0
0,6,3,3,42.96251064087305
0,6,4,4,65.0
0,6,5,1,32.838914465259606
0,6,6,0,
0,6,7,2,31.0
0,6,8,1,44.0
0,6,9,1,39.39939827968182
0,6,10,2,45.02323346480278
0,6,11,1,55.29084300658821
0,6,12,2,41.15457953027972
0,6,13,2,30.924745765835986
0,6,14,0,
0,6,15,3,85.57041214295175
0,6,16,2,33.03882339896569
0,6,17,1,52.23386226076593
0,6,18,1,85.93315767922954
0,6,19,1,74.84363547882603
0,6,20,4,57.46409128436406
0,6,21,2,59.58432199637939
0,6,22,1,68.1689159205665
0,6,23,3,91.0
0,6,24,2,28.36799116981427
0,6,25,2,20.88802421517417
0,6,26,0,
0,6,27,1,33.20317743412878
0,6,28,4,90.0
0,6,29,2,77.0889904293892
0,6,30,2,76.53182979317955
0,6,31,0,
0,6,32,3,46.92665084816118
0,6,33,7,74.43659179715108
0,6,34,3,79.73651971024027
0,6,35,2,85.26166697824272
0,6,36,1,29.533638459009413
0,6,37,0,
0,6,38,3,92.0
0,6,39,2,35.68629085324997
0,6,40,2,48.285538884598424
0,6,41,1,85.14299179869907
0,6,42,3,92.0
0,6,43,3,45.244961529555276
0,6,44,3,71.0
0,6,45,1,59.73184060985748
0,6,46,1,83.0
0,6,47,2,63.0
0,6,48,2,58.0
0,6,49,0,
0,7,0,3,55.77927295217959
0,7,1,5,81.45963032796075
0,7,2,1,65.63085319106094
0,7,3,0,
0,7,4,5,76.95588830644337
0,7,5,3,98.0
0,7,6,0,
0,7,7,1,45.58636472749283
0,7,8,0,
0,7,9,4,95.0
0,7,10,1,33.29079563418153
0,7,11,2,62.23808437907534
0,7,12,0,
0,7,13,1,43.631502253814475
0,7,14,0,
0,7,15,3,46.400803598222815
0,7,16,3,53.649268238031674
0,7,17,0,
0,7,18,2,29.51225760154901
0,7,19,1,83.0
0,7,20,1,39.0
